,COV_GDR,COV_AGR,COV_REG,NUM_CASE,COV_ASM,NUM_ASM,COV_DTH,NUM_DTH,COV_HSP,NUM_HSP
0,1,1,1,1076,2,766,2,1076,,
1,1,1,2,46649,2,32862,2,46649,1.0,13.0
2,1,1,3,50639,2,37145,2,50639,1.0,17.0
3,1,1,4,42598,2,33148,2,42598,1.0,44.0
4,1,1,5,64,2,64,2,64,,
5,1,2,1,1195,2,947,2,1195,1.0,4.0
6,1,2,2,31881,2,27362,2,31881,1.0,49.0
7,1,2,3,63310,2,51804,2,63310,1.0,60.0
8,1,2,4,28587,2,25019,2,28587,1.0,62.0
9,1,2,5,164,2,164,2,164,1.0,1.0
10,1,3,1,786,2,630,2,786,1.0,3.0
11,1,3,2,27783,2,24032,2,27783,1.0,116.0
12,1,3,3,47223,2,39491,2,47223,1.0,154.0
13,1,3,4,28705,2,25288,2,28705,1.0,127.0
14,1,3,5,181,2,181,2,181,1.0,4.0
15,1,4,1,713,2,579,2,713,1.0,9.0
16,1,4,2,28211,2,24624,2,28211,1.0,226.0
17,1,4,3,38894,2,32593,2,38894,1.0,299.0
18,1,4,4,23408,2,20822,2,23408,1.0,239.0
19,1,4,5,129,2,129,2,129,1.0,6.0
20,1,5,1,724,2,601,2,721,1.0,6.0
21,1,5,2,25436,2,22148,2,25304,1.0,571.0
22,1,5,3,38537,2,31885,2,38250,1.0,702.0
23,1,5,4,17847,2,15786,2,17683,1.0,485.0
24,1,5,5,147,2,147,2,147,1.0,16.0
25,1,6,1,492,2,420,2,483,1.0,25.0
26,1,6,2,16344,2,13690,2,15886,1.0,714.0
27,1,6,3,25338,2,20141,2,24648,1.0,975.0
28,1,6,4,10928,2,9592,2,10578,1.0,605.0
29,1,6,5,124,2,124,2,117,1.0,14.0
30,1,7,1,231,2,202,2,203,1.0,9.0
31,1,7,2,9585,2,7813,2,8342,1.0,724.0
32,1,7,3,12060,2,9126,2,10905,1.0,769.0
33,1,7,4,4977,2,4282,2,4382,1.0,374.0
34,1,7,5,75,2,75,2,65,1.0,19.0
35,1,8,1,102,2,75,2,81,1.0,3.0
36,1,8,2,10320,2,8153,2,6914,1.0,332.0
37,1,8,3,8917,2,6154,2,6477,1.0,336.0
38,1,8,4,3872,2,3212,2,2776,1.0,102.0
39,1,8,5,76,2,76,2,40,1.0,8.0
40,2,1,1,1080,2,792,2,1080,,
41,2,1,2,44408,2,32282,2,44408,1.0,19.0
42,2,1,3,47507,2,35444,2,47507,1.0,18.0
43,2,1,4,40229,2,31868,2,40229,1.0,33.0
44,2,1,5,54,2,54,2,54,,
45,2,2,1,1036,2,915,2,1036,1.0,4.0
46,2,2,2,34169,2,30744,2,34169,1.0,42.0
47,2,2,3,57150,2,48648,2,57150,1.0,57.0
48,2,2,4,28131,2,25777,2,28131,1.0,68.0
49,2,2,5,153,2,153,2,153,1.0,2.0
50,2,3,1,690,2,605,2,690,1.0,2.0
51,2,3,2,32430,2,29289,2,32430,1.0,80.0
52,2,3,3,46314,2,40145,2,46314,1.0,118.0
53,2,3,4,29878,2,27609,2,29878,1.0,121.0
54,2,3,5,184,2,184,2,184,1.0,4.0
55,2,4,1,695,2,614,2,695,1.0,5.0
56,2,4,2,32486,2,29380,2,32486,1.0,111.0
57,2,4,3,42277,2,36393,2,42277,1.0,171.0
58,2,4,4,24050,2,22210,2,24050,1.0,159.0
59,2,4,5,159,2,159,2,159,1.0,5.0
60,2,5,1,667,2,612,2,663,1.0,11.0
61,2,5,2,26055,2,23453,2,25975,1.0,228.0
62,2,5,3,40019,2,33922,2,39867,1.0,386.0
63,2,5,4,17389,2,15897,2,17281,1.0,310.0
64,2,5,5,172,2,172,2,172,1.0,7.0
65,2,6,1,430,2,382,2,418,1.0,17.0
66,2,6,2,15200,2,13178,2,14923,1.0,385.0
67,2,6,3,23567,2,19254,2,23217,1.0,501.0
68,2,6,4,10306,2,9302,2,10069,1.0,330.0
69,2,6,5,111,2,111,2,109,1.0,9.0
70,2,7,1,228,2,188,2,217,1.0,4.0
71,2,7,2,10078,2,8223,2,9138,1.0,423.0
72,2,7,3,12150,2,9325,2,11390,1.0,455.0
73,2,7,4,5108,2,4369,2,4755,1.0,213.0
74,2,7,5,70,2,70,2,68,1.0,9.0
75,2,8,1,293,2,251,2,243,1.0,3.0
76,2,8,2,20508,2,16138,2,16128,1.0,282.0
77,2,8,3,16000,2,10028,2,12825,1.0,259.0
78,2,8,4,5975,2,4627,2,4848,1.0,52.0
79,2,8,5,82,2,82,2,68,1.0,6.0
